311,158040,--neBDssyZlHqAWgrHtUBQ,p_wgylnWMXSLlPGCRYSarQ,4
443078,176580,HgORY_l-za-s4_uwsvybFg,vv769u0PvdQhO5IIBFAcwg,4
443078,27396,HgORY_l-za-s4_uwsvybFg,8LUKD_9rkJoUIIuT9uiDbA,5
443078,46252,HgORY_l-za-s4_uwsvybFg,EhlOUjd2dh52SV_XfoORSA,1
443078,45722,HgORY_l-za-s4_uwsvybFg,EXF-imcOSptiuzlirPjljA,5
443078,12524,HgORY_l-za-s4_uwsvybFg,3JyqPFOCUHFczVSfiw518w,4
443078,60738,HgORY_l-za-s4_uwsvybFg,J_NA-_WNLAJQg7eZwn1dWw,5
443078,29818,HgORY_l-za-s4_uwsvybFg,9CcUyTF8NAkl1bd_eWX7gA,5
443078,23472,HgORY_l-za-s4_uwsvybFg,71ONxJtmDNDiJAtYHK-0RA,1
443078,122688,HgORY_l-za-s4_uwsvybFg,da62X2tpj9tF0olWTigjBg,5
443120,19953,HgXOEJ2k80oCDU9rGtSF_Q,5q6Xh-UcJa78bp6dzyaE7w,5
443120,50962,HgXOEJ2k80oCDU9rGtSF_Q,GHBLPfbssjupzlhBfCoF3A,5
443340,96904,Hh8mNzKERdk6qV2FEc1W8w,VpsXhgaBA7-65Gt2zg8Nkg,4
443340,32047,Hh8mNzKERdk6qV2FEc1W8w,9wm8Q1W_0_7Ka_AWBK5c7Q,4
443506,15509,Hh_gc0K6h9kUzDviMjQK4g,4JkIFC5MC7LPzu4v3Pay6w,5
443665,95230,Hhzh1K6B14lnHmnWhQCQFQ,VH3WA7a-OVzFj2K_SP4BIw,5
444497,163875,HkJ1p-QlRx6FJztgjr4Vnw,r_BrIgzYcwo1NAuG9dLbpg,4
444497,28200,HkJ1p-QlRx6FJztgjr4Vnw,8dnH_PcGlzECcCGk_5yyww,1
444497,63614,HkJ1p-QlRx6FJztgjr4Vnw,KYYUvIJi7laFzK1NsaE77Q,5
444497,24498,HkJ1p-QlRx6FJztgjr4Vnw,7ODXq--HE7QpzvWwgk5rMA,4
444497,57571,HkJ1p-QlRx6FJztgjr4Vnw,IWN2heYitkg-D4UdqfxcMA,3
444497,141151,HkJ1p-QlRx6FJztgjr4Vnw,jqp--3Unhkr0a5_ofPWLEw,4
444497,167812,HkJ1p-QlRx6FJztgjr4Vnw,swM_9CXxkvxEk3fDkjA6PQ,3
444497,86465,HkJ1p-QlRx6FJztgjr4Vnw,SKhV8mF40RcsGrJjkuEwvw,5
444497,29921,HkJ1p-QlRx6FJztgjr4Vnw,9Eghhu_LzEJgDKNgisf3rg,3
444497,101716,HkJ1p-QlRx6FJztgjr4Vnw,XTtNTWH_Nqv27RC7OtS7dQ,4
444497,66603,HkJ1p-QlRx6FJztgjr4Vnw,L_ZLtfHvfzfoNVQ0-okTXg,5
444497,48061,HkJ1p-QlRx6FJztgjr4Vnw,FJMMPL3pxAPYGEPB0Hwlhw,5
444497,157619,HkJ1p-QlRx6FJztgjr4Vnw,pSMK_FtULKiU-iuh7SMKwg,2
444497,14688,HkJ1p-QlRx6FJztgjr4Vnw,41o1FUbCYKJv2djtnlkzlg,3
444497,101684,HkJ1p-QlRx6FJztgjr4Vnw,XT25YpQoNDuzAZHur-HZ8g,3
444497,128168,HkJ1p-QlRx6FJztgjr4Vnw,fQwB9Z98YEhkJit7c3z51A,4
444497,166852,HkJ1p-QlRx6FJztgjr4Vnw,saijdv-vXJrvsCfvr7SZOw,4
444497,177287,HkJ1p-QlRx6FJztgjr4Vnw,w9TXFk3zKcVQJ92Ow992mg,4
444497,164967,HkJ1p-QlRx6FJztgjr4Vnw,rxA9c0_XObabVL1WCTA4FA,4
444497,73961,HkJ1p-QlRx6FJztgjr4Vnw,O66Zy8Y13VBm72ZDhS4fIg,4
444497,142383,HkJ1p-QlRx6FJztgjr4Vnw,kGOr_D-LNpgZ2M9N8TT4QQ,2
444497,139973,HkJ1p-QlRx6FJztgjr4Vnw,jTZYireK6pnPb6Rni0jygw,5
444497,40862,HkJ1p-QlRx6FJztgjr4Vnw,CsS9WsonGYyE3vINi5bxSg,2
444497,115862,HkJ1p-QlRx6FJztgjr4Vnw,bEVWHtBRYVwqaaNF4mWNYg,3
444497,186026,HkJ1p-QlRx6FJztgjr4Vnw,z8H4Mdzl4jS9pYswj6Jf9w,4
444497,165695,HkJ1p-QlRx6FJztgjr4Vnw,sCPNcNxYuTnTdlAZohMyQg,4
444497,175582,HkJ1p-QlRx6FJztgjr4Vnw,v_UM-AW9YYTCbWUNa-w1Gg,3
444497,83031,HkJ1p-QlRx6FJztgjr4Vnw,RADloW1UROUn4FJFU4JJNg,4
444497,572,HkJ1p-QlRx6FJztgjr4Vnw,-BbnAc9YEO6pjvJGEtFbVQ,5
444497,82263,HkJ1p-QlRx6FJztgjr4Vnw,Qtu-zIwz4TDUu1U7oxCgHg,4
444497,15490,HkJ1p-QlRx6FJztgjr4Vnw,4JNXUYY8wbaaDmk3BPzlWw,5
444497,46600,HkJ1p-QlRx6FJztgjr4Vnw,Eoj4-cffvbIQxLTO-C_K0g,4
444497,31896,HkJ1p-QlRx6FJztgjr4Vnw,9tfw-OEfpF0qC2hSzRks6g,3
444497,148126,HkJ1p-QlRx6FJztgjr4Vnw,mES9E5K4HbYoPFXGv0pUuw,2
444497,124165,HkJ1p-QlRx6FJztgjr4Vnw,e41TP5cXZqSrz50xCBJqZw,3
444497,55331,HkJ1p-QlRx6FJztgjr4Vnw,HkHTdTvzbn-bmeQv_-2u0Q,3
444497,152107,HkJ1p-QlRx6FJztgjr4Vnw,n_-CwlqV8fzEIUPky8Ibtw,3
444497,22971,HkJ1p-QlRx6FJztgjr4Vnw,6rTzYUGghp3XHPgOGaO8UQ,3
444497,136195,HkJ1p-QlRx6FJztgjr4Vnw,iAhAnPxgKb6fzxrEcoHtlw,4
444497,105748,HkJ1p-QlRx6FJztgjr4Vnw,YpoIDLyRGhgciExGAHRQcw,3
444497,148332,HkJ1p-QlRx6FJztgjr4Vnw,mISfQv_it_TCXpFf4BFzaw,4
444497,75439,HkJ1p-QlRx6FJztgjr4Vnw,O_UC_izJXcAmkm6HlEyGSA,4
444497,138232,HkJ1p-QlRx6FJztgjr4Vnw,is6sW1nbJC9JYyKHFKEwnw,1
444497,47740,HkJ1p-QlRx6FJztgjr4Vnw,FBd6q_qzEFixvhV3KdzvJw,4
444497,83322,HkJ1p-QlRx6FJztgjr4Vnw,RG4NphZCi8Pw6Ei-g6oaqg,4
444497,134948,HkJ1p-QlRx6FJztgjr4Vnw,hkZh4tAa2oJ34i8hxej6Zg,2
444497,127391,HkJ1p-QlRx6FJztgjr4Vnw,fAo-3jt3oD69nwnr5M6FLQ,5
444497,80351,HkJ1p-QlRx6FJztgjr4Vnw,QFPS9JBNdOOHVP0C3pSslw,3
444497,162428,HkJ1p-QlRx6FJztgjr4Vnw,r49iBfbnfoK7yt4rdsL_7g,2
444497,108193,HkJ1p-QlRx6FJztgjr4Vnw,ZekRYrQz3zatQeHpkiwW_w,3
444497,128006,HkJ1p-QlRx6FJztgjr4Vnw,fNc1WuGwiT7RhqXUIe4S8A,3
444497,159583,HkJ1p-QlRx6FJztgjr4Vnw,q5xrVJ4kivx_yEfJeOKNYQ,3
444497,73684,HkJ1p-QlRx6FJztgjr4Vnw,O-uIEuv7JLUHajkemx_sVw,4
444497,165545,HkJ1p-QlRx6FJztgjr4Vnw,s9JXZQq3E5Ol0Dk4zoU6CA,4
444497,98807,HkJ1p-QlRx6FJztgjr4Vnw,WTi4ZE99EGuoI3P27vpH8g,3
444497,15833,HkJ1p-QlRx6FJztgjr4Vnw,4RggTW3skfGuUt0MOY_zHw,3
444497,170411,HkJ1p-QlRx6FJztgjr4Vnw,trKyIRyjKqVSZmcU0AnICQ,4
444497,149117,HkJ1p-QlRx6FJztgjr4Vnw,mZRKH9ngRY92bI_irrHq6w,5
444497,24198,HkJ1p-QlRx6FJztgjr4Vnw,7HUEqrj4aa_u3kl-o-e9_Q,4
444497,166816,HkJ1p-QlRx6FJztgjr4Vnw,sa1ZAswk7kEQfg9Mb6iQwQ,4
444497,60104,HkJ1p-QlRx6FJztgjr4Vnw,JMiaNitMzMbJm6Kh0RbT5A,4
444497,32543,HkJ1p-QlRx6FJztgjr4Vnw,A6bnXx1see4yZSaVVCVDyw,4
444497,136449,HkJ1p-QlRx6FJztgjr4Vnw,iGEvDk6hsizigmXhDKs2Vg,5
444497,123997,HkJ1p-QlRx6FJztgjr4Vnw,e0JOkQYz_cnz91k6X55PLw,3
444929,143068,HlOqzuXGH-Ln4ShMhzfQGg,kVqj5hrjUnoDV6nb6oRFbg,5
445032,136281,Hldd6ZHd_lWcUXyUQdLPEQ,iCQpiavjjPzJ5_3gPD5Ebg,3
445032,136569,Hldd6ZHd_lWcUXyUQdLPEQ,iIwKW2cBAxjElE8eUzjwqA,5
445178,92175,Hm-VGh2CGs1Va8G5o5m1CQ,UFthIIorkchiGj_5ThZ1Uw,5
445199,79983,Hm4FcVMY0QfbAkzldg9EFA,Q7gg9S6-ZesBJGZvdPW8lA,2
445199,137595,Hm4FcVMY0QfbAkzldg9EFA,ieVWau2J6e97R7ZWHxgzdg,5
445199,65087,Hm4FcVMY0QfbAkzldg9EFA,L3R7y3_tUKQlM9kor4-Ccw,2
446861,56531,Hqd0Hwqsq4cY9PGqSfLq-w,I9dtHZMPnhgatLqni6EJrA,4
447203,133447,HrZG-NEwFtya-0jzNMBE6w,hF1-dtY_oXfngC8h2mY4qg,5
447686,73431,Ht0eu3KLvQBsObKoCNkYsw,NvKNe9DnQavC9GstglcBJQ,4
447686,35853,Ht0eu3KLvQBsObKoCNkYsw,BCAw9a_kyx2RddRH9tMmKQ,4
447686,85174,Ht0eu3KLvQBsObKoCNkYsw,RtnTbhWYw4QjKhoTBV37OA,4
447930,46591,HtdGOcvJm_l1lJvDQwvwQA,Eoa7Rcm1QbQSlm189p_-nw,1
448001,155944,HtpGkzKLMPC5t3XG59780g,ostVuyoxxQiP3Qik_L7nPA,5
448367,152893,HurE0GcsyTLlK99ZjlnXeg,npoCLZID4WNKV5RtJijAKg,1
448385,62130,Huth-bFKK3yLXgYut0tjVw,K2C8dSx9215LLcIzHL959Q,5
448385,142945,Huth-bFKK3yLXgYut0tjVw,kT9SuRVTapbDgFGMcg1Rqg,2
448385,116757,Huth-bFKK3yLXgYut0tjVw,bXCWON2Me0o86qvAb-XZPQ,5
448385,144593,Huth-bFKK3yLXgYut0tjVw,l1JDX-o0wCLykuh78R8Kng,4
448552,48411,HvK7CRwa7CEQqwOg7dlZlA,FQhe0AuYA-XuJUCuOiWhUQ,4
448552,90021,HvK7CRwa7CEQqwOg7dlZlA,TXU6j2y9Nem41SxxUUgA6A,5
449646,134851,HyDN5RBVsicp6byn1YiI1g,hihud--QRriCYZw1zZvW4g,5
450519,22783,I-a37i4rhB2Zp61GKpG3dQ,6nbPXEjmBnDtsgM_YNwGjw,5
451329,46061,I1eU6rriwZq6V4S7JWrL6Q,EdY6q0CO2mlATpoTFkvHAw,5
451479,33920,I21VUcLDfPh8_Gg9spiFEw,AZL7uziAs4a9SgZnzzahDg,5
451479,182053,I21VUcLDfPh8_Gg9spiFEw,xmAakatNKpvIJ-Fmq5swCw,5
451479,110114,I21VUcLDfPh8_Gg9spiFEw,_Ii0lo1P5n7zVURO5Uaf1w,5
451479,112355,I21VUcLDfPh8_Gg9spiFEw,a58ItFHWoVwVWDqSH_9bEw,1
451479,144742,I21VUcLDfPh8_Gg9spiFEw,l4pAkHCVUKAcDvo-iNSbYA,3
452141,137907,I3vbq1k28o3LSFge7_ZHQw,il0h5UFgcLiqEw8C6OOmtQ,5
454128,148676,I9GLjaX7VnF6XbRM91aQ8w,mPfdYJj4d5KBPINDkaZY-Q,5
454153,176326,I9K4C7WlJ9PZkuF5ObgDEA,vpqC4f2zvAPTDbNBNC5Hiw,1
455275,136512,ICVVVV33-PXGVZHg1KcJTw,iHeP8OmTwcqYeyMuEpIaxw,5
455817,104696,IE5uZ99T0xIgOm3tfPmsUg,YTCCJ3ShO-zg0dlx1nk6dw,3
456274,79661,IFG0iiElBr7GeP4NmqkDjA,Q0fW4psOyHqGbkbF13ucqw,5
457404,124520,IIQjl4ckL2lWPrqV2ZGAtA,eBj_YyJU5jVu6tbZCkdtDA,5
457404,7279,IIQjl4ckL2lWPrqV2ZGAtA,1UvrUFk3BXAmueL1KQaKPQ,4
457404,22236,IIQjl4ckL2lWPrqV2ZGAtA,6bgjcFOy4WHMyw62_1V9Pw,4
457404,100856,IIQjl4ckL2lWPrqV2ZGAtA,XBEx2FI2GKmsjs7eWNr7Lw,5
457404,71634,IIQjl4ckL2lWPrqV2ZGAtA,NIOwzgujIXKVBEVNTQBXpg,4
457404,95036,IIQjl4ckL2lWPrqV2ZGAtA,VD0zZKG_ZEz_VYlKLtu9Zg,5
457404,40406,IIQjl4ckL2lWPrqV2ZGAtA,CiYLq33nAyghFkUR15pP-Q,5
457404,52565,IIQjl4ckL2lWPrqV2ZGAtA,GmdujALb1Nq2RHGr7jhCaA,5
457404,84280,IIQjl4ckL2lWPrqV2ZGAtA,R_fQGSUQv0L_fRiuua47dw,5
457404,61868,IIQjl4ckL2lWPrqV2ZGAtA,Jy6ru0Hz-9Yc5v006-YmUQ,5
457404,138453,IIQjl4ckL2lWPrqV2ZGAtA,ixAh9crILnJ9tM8LhWFhkw,5
457404,94357,IIQjl4ckL2lWPrqV2ZGAtA,V-0qRzBHKixmQgon_fW_AA,5
457404,132506,IIQjl4ckL2lWPrqV2ZGAtA,gvSn76jIWco_sDxp6090og,3
457404,119235,IIQjl4ckL2lWPrqV2ZGAtA,cNx3qzQ55JXpjZEt4lc7Tg,5
457404,99272,IIQjl4ckL2lWPrqV2ZGAtA,Wcuo6YmYj3xhCso5sMQcOw,5
457404,23642,IIQjl4ckL2lWPrqV2ZGAtA,74pWjFssgqyhaVg-YCUo3A,4
457404,166236,IIQjl4ckL2lWPrqV2ZGAtA,sOYsxYYFl03PhHmz_rBDZQ,4
457404,126196,IIQjl4ckL2lWPrqV2ZGAtA,elqbBhBfElMNSrjFqW3now,5
457404,95200,IIQjl4ckL2lWPrqV2ZGAtA,VGWEpMEkzQopS5lUNd06Sw,5
457404,132579,IIQjl4ckL2lWPrqV2ZGAtA,gx2yPrOJSwF1ApJYdGBWIw,5
457404,109903,IIQjl4ckL2lWPrqV2ZGAtA,_EBa6I5KkADiCdcBHOC_tg,5
457404,122645,IIQjl4ckL2lWPrqV2ZGAtA,d_L-rfS1vT3JMzgCUGtiow,4
457404,165609,IIQjl4ckL2lWPrqV2ZGAtA,sAZGdlYTp41UWEjHdeZrWg,5
457404,158708,IIQjl4ckL2lWPrqV2ZGAtA,po0p6NIro0cDrmKkcyPy0w,5
457404,42687,IIQjl4ckL2lWPrqV2ZGAtA,DVfCbJhJUDWRlUfrKzaKOA,2
457404,86406,IIQjl4ckL2lWPrqV2ZGAtA,SJU-jRAZS0cXoBGUjX5GUg,4
457404,35978,IIQjl4ckL2lWPrqV2ZGAtA,BEtgRzNeXGAf0uQ-HuSyfA,4
457404,125835,IIQjl4ckL2lWPrqV2ZGAtA,eduRavkml8awmPachSZXuw,3
457404,138150,IIQjl4ckL2lWPrqV2ZGAtA,iqQEH6olFhpqwZjFRRFmuA,4
457404,32363,IIQjl4ckL2lWPrqV2ZGAtA,A2pZTpFXWC38z506XIhnBQ,5
457404,145345,IIQjl4ckL2lWPrqV2ZGAtA,lIDgEB1HnKAq03H1fpjzLQ,4
457404,41548,IIQjl4ckL2lWPrqV2ZGAtA,D6WXf0lB4pfuXZH3P7c5Ow,5
457404,20321,IIQjl4ckL2lWPrqV2ZGAtA,5xdKUuu4DbJ71KGbwRXfFg,4
457404,144027,IIQjl4ckL2lWPrqV2ZGAtA,kpLt4l5J5kbMD4oxQLC2aA,4
457404,164653,IIQjl4ckL2lWPrqV2ZGAtA,rqWIntPaV8TpJvgT6H9UNw,4
457404,103088,IIQjl4ckL2lWPrqV2ZGAtA,XwJ6fZRVbxQYRsryy4-qDw,5
457404,39873,IIQjl4ckL2lWPrqV2ZGAtA,CZF9Nm8CFY2R9ZhfwYIARQ,4
457404,80670,IIQjl4ckL2lWPrqV2ZGAtA,QMKgn9p_hRUlumBDAAfWlA,3
457404,140358,IIQjl4ckL2lWPrqV2ZGAtA,jaSowNITPRRCYpPb3_pjdA,5
457404,119156,IIQjl4ckL2lWPrqV2ZGAtA,cMAv53bpH7b32IYgQwCXLA,2
457404,129168,IIQjl4ckL2lWPrqV2ZGAtA,fknU3sWplCBn26b6HwJ1kQ,5
457404,61086,IIQjl4ckL2lWPrqV2ZGAtA,JhRxDdmZSGDG_u7cGxaYrw,4
457404,171447,IIQjl4ckL2lWPrqV2ZGAtA,uBdYMY6a6A7FyxzTSwOiDg,3
457404,129012,IIQjl4ckL2lWPrqV2ZGAtA,fhoFsFK6TqJOEo30LtXeDA,4
457404,12319,IIQjl4ckL2lWPrqV2ZGAtA,3FlWR_osNPb8dcqLgHebHw,3
457404,167859,IIQjl4ckL2lWPrqV2ZGAtA,sxNMGQwUuaDsviR4BtuX0g,4
457404,72916,IIQjl4ckL2lWPrqV2ZGAtA,Nk88s1VuIfl3O9SFZnonCg,3
457404,23258,IIQjl4ckL2lWPrqV2ZGAtA,6xgcHeLad-VaoTIQewK84A,4
457404,161800,IIQjl4ckL2lWPrqV2ZGAtA,qqs7LP4TXAoOrSlaKRfz3A,3
457404,179044,IIQjl4ckL2lWPrqV2ZGAtA,wkKlpSx3OcoGJiv7p8VZzw,5
457404,142657,IIQjl4ckL2lWPrqV2ZGAtA,kMVdBQUKHzmhqDcIK4625w,5
457404,150227,IIQjl4ckL2lWPrqV2ZGAtA,mwE5uNVkxCXvEuVa1KQ_3g,4
457404,119327,IIQjl4ckL2lWPrqV2ZGAtA,cPmThZ7Ugpd8eJnIObOy0Q,4
457404,187467,IIQjl4ckL2lWPrqV2ZGAtA,zcScEL0WEdFkROcnz5379g,5
457404,172395,IIQjl4ckL2lWPrqV2ZGAtA,uW6UHfONAmm8QttPkbMewQ,3
457404,97835,IIQjl4ckL2lWPrqV2ZGAtA,W8apgXmOxESpoL_EeogC5w,4
457404,78896,IIQjl4ckL2lWPrqV2ZGAtA,PkqN5st3zZ_Xce_5QlBtNQ,2
457404,52274,IIQjl4ckL2lWPrqV2ZGAtA,Gh1BoQNMGkh91pSHqvDRAA,4
457404,136864,IIQjl4ckL2lWPrqV2ZGAtA,iPM8BXV6vEVEci8ttsOObQ,4
457404,4675,IIQjl4ckL2lWPrqV2ZGAtA,0_aeYE2-VbsZts_UpILgDw,5
457404,116075,IIQjl4ckL2lWPrqV2ZGAtA,bIzoX_6PNnpxPiwhJeUMfg,5
457404,10749,IIQjl4ckL2lWPrqV2ZGAtA,2hSIeCX2cV-chFcBBXrZZA,5
457404,3269,IIQjl4ckL2lWPrqV2ZGAtA,065c76tt1dXBNmoGBymUgQ,4
457404,58159,IIQjl4ckL2lWPrqV2ZGAtA,IhNASEZ3XnBHmuuVnWdIwA,5
457404,65055,IIQjl4ckL2lWPrqV2ZGAtA,L2W0QLXIIR5MEmhQwZk-iA,5
457404,20871,IIQjl4ckL2lWPrqV2ZGAtA,68jn0s0snbO5dhasLaVvDw,5
457404,178374,IIQjl4ckL2lWPrqV2ZGAtA,wWuGa3OOQJro_XGe-GKBXA,5
457404,173257,IIQjl4ckL2lWPrqV2ZGAtA,umXvdus9LbC6oxtLdXelFQ,5
457404,21252,IIQjl4ckL2lWPrqV2ZGAtA,6H8xfhoZ2IGa3eNiY5FqLA,5
457404,126068,IIQjl4ckL2lWPrqV2ZGAtA,eiTWTVThkHr-DKXxIysbgA,5
457404,144335,IIQjl4ckL2lWPrqV2ZGAtA,kwLlQn95rqiqvmM4Yc2hIg,3
457404,160291,IIQjl4ckL2lWPrqV2ZGAtA,qKn9nynsVYIST8rf6tEFRQ,4
457404,186918,IIQjl4ckL2lWPrqV2ZGAtA,zRqi6L1u-YmmVAHjeUbGMQ,5
457404,31497,IIQjl4ckL2lWPrqV2ZGAtA,9km51KaQujxsSgdaG9gYSw,4
457404,98700,IIQjl4ckL2lWPrqV2ZGAtA,WRQ-9LluyivReFiQZFUujw,5
457404,142885,IIQjl4ckL2lWPrqV2ZGAtA,kRgAf6j2y1eR0wOFdzFAuw,5
457404,80581,IIQjl4ckL2lWPrqV2ZGAtA,QKCu3cKjMAOOZI7tEfv0zg,3
457942,118500,IJocPc0kXzGzL4pRg5daHQ,c7lAaz-pW58i1h1rSlyqcw,5
458008,141559,IJyS8W47JRmHBo60gzqEWQ,k-771ytdXmdz7xvqyemI2Q,2
458076,144931,IK9B-1yDFn9lNnQ8XDlQdw,l9B72QwKjUhEA-pLumCa5w,1
458294,23752,IKi5cCvrzNqF1RqqXQ5E3Q,77h11eWv6HKJAgojLx8G4w,5
458294,114975,IKi5cCvrzNqF1RqqXQ5E3Q,awI4hHMfa7H0Xf0-ChU5hg,4
458294,6484,IKi5cCvrzNqF1RqqXQ5E3Q,1DP5vHxJzCDbgawv0WC3yA,4
458294,6,IKi5cCvrzNqF1RqqXQ5E3Q,--9e1ONYQuAa-CB_Rrw7Tw,5
458294,136281,IKi5cCvrzNqF1RqqXQ5E3Q,iCQpiavjjPzJ5_3gPD5Ebg,2
458294,83230,IKi5cCvrzNqF1RqqXQ5E3Q,RESDUcs7fIiihp38-d6_6g,1
458294,64542,IKi5cCvrzNqF1RqqXQ5E3Q,KskYqH1Bi7Z_61pH6Om8pg,5
458294,80557,IKi5cCvrzNqF1RqqXQ5E3Q,QJatAcxYgK1Zp9BRZMAx7g,5
458384,146612,IKyvbNqaCB2J4F8BqqtwPQ,liPSeXaAfv8jxRGJ717VmQ,5
459892,4749,IP6uCQA7PpvksX8rnc8ATg,0aw3HbxkZ4G7pkPYt10fhA,5
459892,57712,IP6uCQA7PpvksX8rnc8ATg,IZivKqtHyz4-ts8KsnvMrA,5
459892,177080,IP6uCQA7PpvksX8rnc8ATg,w4yq1IRk0DHQE995giqjGg,3
459892,175749,IP6uCQA7PpvksX8rnc8ATg,vdOf_NWsct8jr4qYKoE_iw,5
459892,16736,IP6uCQA7PpvksX8rnc8ATg,4k3RlMAMd46DZ_JyZU0lMg,5
460114,108905,IPg1QlNgrSJHI2gpM5_0ww,ZtsnwjxjzMUI6tDZNrJUeA,5
461101,4147,ISEi6Cmn_Oq-S15sTsvCBw,0PCBt3JKD6IooicImKNBzA,4
461101,21729,ISEi6Cmn_Oq-S15sTsvCBw,6RbCJLiwNYwS6ab9vzD_zg,5
461101,25763,ISEi6Cmn_Oq-S15sTsvCBw,7odNqxZDSR6ZVgxjp2r39A,3
461145,150624,ISNAACzfH2A6_UWVB-ptEw,n3kuSEwXUn3acFjmKiE16Q,5
461217,114975,IS_KrqCgsNoXYuHZYBJr4A,awI4hHMfa7H0Xf0-ChU5hg,5
461217,99603,IS_KrqCgsNoXYuHZYBJr4A,WkR2ud9YAFvI8fNcWyU_vQ,5
461217,6455,IS_KrqCgsNoXYuHZYBJr4A,1CaM8eIvl41l4f3V-V-cAw,5
461217,56657,IS_KrqCgsNoXYuHZYBJr4A,ID5wWJ9C7G0hfbQilvlfxA,4
461217,48133,IS_KrqCgsNoXYuHZYBJr4A,FKnIIONBcfdPSVW-r5_zfw,5
461408,38749,IT4x0dD1UXtxuXlkTB4H_g,CCRgGKhzxSpl38w7yhqKUw,1
462886,163623,IWudo6t-k18HdQggepv39w,rUmJ5moQLQaWA2s99P2MEA,1
462886,73819,IWudo6t-k18HdQggepv39w,O2sEX86f6B4GROghjUkr0A,5
463233,104507,IXqcnnHzoMFT2XRwt76_pQ,YP800TNLAj0MSMgmplxc_A,5
463233,4669,IXqcnnHzoMFT2XRwt76_pQ,0_VT3sTwi7gorIlU36ASmg,5
463718,66603,IZ69bDkna2mmffvoTuyEUA,L_ZLtfHvfzfoNVQ0-okTXg,2
463718,101716,IZ69bDkna2mmffvoTuyEUA,XTtNTWH_Nqv27RC7OtS7dQ,1
463718,73431,IZ69bDkna2mmffvoTuyEUA,NvKNe9DnQavC9GstglcBJQ,3
463718,83230,IZ69bDkna2mmffvoTuyEUA,RESDUcs7fIiihp38-d6_6g,3
463718,15490,IZ69bDkna2mmffvoTuyEUA,4JNXUYY8wbaaDmk3BPzlWw,4
463718,51551,IZ69bDkna2mmffvoTuyEUA,GTR39A2jwNIS_NV8q2r_JA,5
463718,157111,IZ69bDkna2mmffvoTuyEUA,pH0BLkL4cbxKzu471VZnuA,5
463718,164026,IZ69bDkna2mmffvoTuyEUA,rcaPajgKOJC2vo_l3xa42A,5
463718,11430,IZ69bDkna2mmffvoTuyEUA,2weQS-RnoOBhb1KsHKyoSQ,4
463718,63553,IZ69bDkna2mmffvoTuyEUA,KXITXbKuE60WSUDs7NZVLQ,2
464029,14335,IZvE1cXlayuS7ZKymya7cA,3vkP6t_kKN3JT8MMUaBVEA,5
464883,128457,IbIJ4MWLMu78J29I1SnzqQ,fXSOxjL7FP_sVew1gXnOIw,1
464883,34775,IbIJ4MWLMu78J29I1SnzqQ,AqpiBApzrd30LA-vmU3Rvw,1
464981,18880,Ib_hbDlaEkZXZrrsZHwB7Q,5TdDdgRO028CIuCN-13-9Q,5
465376,77285,IcgtPSY9qdQJwR7pyeN6cg,PChG1Dm0A6AXIXkXGVK8Fw,5
465376,56149,IcgtPSY9qdQJwR7pyeN6cg,I1gRYCt2exnOMsTr-lEJVA,5
466245,135511,Ieyxt-W9E6M-9101ZMnsVQ,hwoMVoMk4qmuMrbr8Km0AQ,5
466319,136171,IfCMTS5heMLFZ52Z-rc-4A,iACo0RlJN6PGJez9oaK-tA,5
466356,94721,IfI_7eM6vBQx66R_jJeB1w,V6rzs-QgnuW1CdOn-23nNw,1
467272,178374,Ihj8wqegRk4-GJXnxTMq9A,wWuGa3OOQJro_XGe-GKBXA,5
467634,98968,IijAi29KA3OkNzj2EA4FZw,WXR0ND0KqbArMZDvFMA-bw,5
467634,166322,IijAi29KA3OkNzj2EA4FZw,sQV-yfhFjeRWnHw66n8qrQ,1
467634,156723,IijAi29KA3OkNzj2EA4FZw,p8H_WsH1SltPmo0-c67gFQ,3
467634,126975,IijAi29KA3OkNzj2EA4FZw,f1KNYRXm8fxIjb6rVdyk7Q,5
467634,132464,IijAi29KA3OkNzj2EA4FZw,gugN1sgyheBJ6aKtNcv_gQ,5
467634,12538,IijAi29KA3OkNzj2EA4FZw,3KFWuiz8lla9SospgQn6Yg,5
467671,30136,IipANauztNLegVLBhTskUQ,9JUynLfWPwe1X9gsJS6FTA,1
467671,106335,IipANauztNLegVLBhTskUQ,Z1mLBp6BMlHSQUh364vk1g,5
467671,150019,IipANauztNLegVLBhTskUQ,ms4nFq8B56RHkFViRaAiWQ,1
467671,108172,IipANauztNLegVLBhTskUQ,ZeN8xHEhsPS-amDyZSYJ9w,5
467671,51899,IipANauztNLegVLBhTskUQ,G_CW38j3t6VOZiiYtJQvng,5
467671,156118,IipANauztNLegVLBhTskUQ,owV0aSgh4t_9aG56iPxGEw,1
467671,69418,IipANauztNLegVLBhTskUQ,MWmuV3o6qcnYCktB755_-Q,4
467902,130377,IjQQruMKIq7kFWwbExKMvQ,gBfPyzPRmeOaj3SdcIj0Rw,5
467902,56367,IjQQruMKIq7kFWwbExKMvQ,I6EDDi4-Eq_XlFghcDCUhw,5
468062,81861,IjsplEIpk59qgfiGQccTQA,QlJztL2aGEXgejgi5JM9Xg,5
468455,22957,IkuMEOSWHvpe5czMaa1kOg,6r7tE2fePY8m7LR7EFJ_sw,1
468455,87868,IkuMEOSWHvpe5czMaa1kOg,Sny6BbdL0I-_q3RM-Hm3LA,2
